Name,Lat,Lng
"1140 S Xavier St, Denver, CO 80219",39.6959785,-105.0492802
"2350 S Irving St, Denver, CO 80219",39.6747533,-105.0294643
"1991 S Stuart St, Denver, CO 80219",39.6811736,-105.0435269
"2601 S Green Ct, Denver, CO 80219",39.67102939999999,-105.0263939
"4972 W Custer Pl, Denver, CO 80219",39.7056378,-105.0510154
"386 S Stuart St, Denver, CO 80219",39.7098445,-105.0430426
"384 S Stuart St, Denver, CO 80219",39.7098404,-105.0429105
"450 S Clay St, Denver, CO 80219",39.7082944,-105.0201507
"3180 W Mexico Ave, Denver, CO 80219",39.6856602,-105.028049
"55 S Clay St, Denver, CO 80219",39.7154765,-105.0206529
"2221 S Wolff St, Denver, CO 80219",39.6761898,-105.0481387
"3040 W 3rd Ave, Denver, CO 80219",39.7212585,-105.0261633
